scenario,style,rtt_us_nominal,rate,n,repeat,epoch,p50_ms,p95_ms,p99_ms,p99_missing,avg_ms,min_ms,max_ms,reqs,dropped_iterations,dropped_ratio,error_rate,valid,calib_p50_us,file
b,batchfetch,10000,20,500,1,1781220105,84.363209,95.477531,110.910972,0,85.6135461903374,76.84977,261.548593,2401,0,0.0,0,1,11483,b-batchfetch-rtt10000-r20-n500-rep1-1781220105.json
b,batchfetch,10000,20,,1,1781212956,81.68006,86.188117,93.401027,0,81.9361799246146,74.319224,170.105346,2401,0,0.0,0,1,11378,b-batchfetch-rtt10000-r20-rep1-1781212956.json
b,batchfetch,10000,20,,1,1781215161,84.48209449999999,124.49319619999999,201.49273573999992,0,92.55594539375012,75.682155,833.615432,2400,0,0.0,0,1,11536,b-batchfetch-rtt10000-r20-rep1-1781215161.json
b,batchfetch,10000,20,,1,1781217574,89.449386,99.558918,105.917696,0,90.29966149895893,77.564554,248.110845,2401,0,0.0,0,1,12951,b-batchfetch-rtt10000-r20-rep1-1781217574.json
b,batchfetch,1500,10,100,1,1781378411,25.418328,29.020342,29.970113,0,25.13604675726718,14.826941,38.320247,5401,0,0.0,0,1,2438,b-batchfetch-rtt1500-r10-n100-rep1-1781378411.json
b,batchfetch,1500,100,100,1,1781383512,17.508265,19.2073978,19.907233429999998,0,17.460389071407395,13.173098,42.481358,54000,0,0.0,0,1,2442,b-batchfetch-rtt1500-r100-n100-rep1-1781383512.json
b,batchfetch,1500,15,100,1,1781379049,25.1113,28.767626,29.855018,0,24.957705146772078,14.819337,108.788259,8101,0,0.0,0,1,2421,b-batchfetch-rtt1500-r15-n100-rep1-1781379049.json
b,batchfetch,1500,20,100,1,1781379686,24.704497500000002,28.27191335,29.332880269999997,0,24.5545580298148,14.420565,58.488969,10800,0,0.0,0,1,2428,b-batchfetch-rtt1500-r20-n100-rep1-1781379686.json
b,batchfetch,1500,20,,1,1781179259,20.482411,26.566517,36.084511,0,21.37049110578925,15.322931,202.323102,2401,0,0.0,0,1,2342,b-batchfetch-rtt1500-r20-rep1-1781179259.json
b,batchfetch,1500,20,,1,1781181245,22.237836,33.387774,46.334797,0,23.801801254477294,15.607155,165.078911,2401,0,0.0,0,1,2329,b-batchfetch-rtt1500-r20-rep1-1781181245.json
b,batchfetch,1500,20,,1,1781183269,23.480951,28.382472,32.539916,0,23.764632619741697,16.578279,82.331701,2401,0,0.0,0,1,2378,b-batchfetch-rtt1500-r20-rep1-1781183269.json
b,batchfetch,1500,20,,1,1781185351,24.152838,29.73376,34.176427,0,24.495159385672654,17.656257,66.181139,2401,0,0.0,0,1,2381,b-batchfetch-rtt1500-r20-rep1-1781185351.json
b,batchfetch,1500,20,,1,1781188713,26.069113,32.477963,38.874897,0,26.509654027905025,18.705718,83.974896,2401,0,0.0,0,1,2380,b-batchfetch-rtt1500-r20-rep1-1781188713.json
b,batchfetch,1500,30,100,1,1781380324,23.430896,26.582544,27.74249,0,23.191512819764213,13.921231,76.637965,16201,0,0.0,0,1,2440,b-batchfetch-rtt1500-r30-n100-rep1-1781380324.json
b,batchfetch,1500,40,100,1,1781380962,22.3137,25.027168,26.436415,0,22.165215365353575,13.906013,40.801343,21601,0,0.0,0,1,2441,b-batchfetch-rtt1500-r40-n100-rep1-1781380962.json
b,batchfetch,1500,5,100,1,1781377774,26.07941,30.257041,32.116501,0,35.44565321251389,0.119917,4394.347195,2701,0,0.0,0,1,2431,b-batchfetch-rtt1500-r5-n100-rep1-1781377774.json
b,batchfetch,1500,50,100,1,1781381599,21.205350000000003,23.57337445,24.812159219999998,0,21.07285974996294,14.041497,36.754185,27000,0,0.0,0,1,2441,b-batchfetch-rtt1500-r50-n100-rep1-1781381599.json
b,batchfetch,1500,60,100,1,1781382237,20.106501,22.001655,23.433541,0,19.956320427610258,13.986456,75.668224,32401,0,0.0,0,1,2442,b-batchfetch-rtt1500-r60-n100-rep1-1781382237.json
b,batchfetch,1500,80,100,1,1781382875,18.664651,20.356623,21.14682,0,18.533209986620673,13.442493,90.67824,43201,0,0.0,0,1,2441,b-batchfetch-rtt1500-r80-n100-rep1-1781382875.json
b,batchfetch,300,20,,1,1781171938,9.265531,17.219806,30.757392,0,10.459418041649311,6.00677,61.603161,2401,0,0.0,0,1,519,b-batchfetch-rtt300-r20-rep1-1781171938.json
b,batchfetch,300,20,,1,1781173302,10.024953,19.614695,36.268089,0,11.462544653477746,6.273522,140.068622,2401,0,0.0,0,1,519,b-batchfetch-rtt300-r20-rep1-1781173302.json
b,batchfetch,300,20,,1,1781174661,10.091042,15.272245,22.034129,0,10.73686397501042,7.60625,56.734605,2401,0,0.0,0,1,515,b-batchfetch-rtt300-r20-rep1-1781174661.json
