scenario,style,rtt_us_nominal,rate,n,repeat,epoch,p50_ms,p95_ms,p99_ms,p99_missing,avg_ms,min_ms,max_ms,reqs,dropped_iterations,dropped_ratio,error_rate,valid,calib_p50_us,file
c,app-optimized,300,14,,1,1781227764,8.466074,12.558362,17.2042592,0,9.01667897858419,4.697661,173.091232,1681,0,0.0,0,1,528,c-app-optimized-rtt300-r14-rep1-1781227764.json
c,app-optimized,300,14,,1,1781228099,7.949335,11.436047,14.276636599999996,0,8.304095795359911,4.209668,113.466901,1681,0,0.0,0,1,547,c-app-optimized-rtt300-r14-rep1-1781228099.json
c,app-optimized,300,14,,1,1781228429,7.936925,11.561261,14.286339199999997,0,8.286888960737654,4.403087,73.936329,1681,0,0.0,0,1,543,c-app-optimized-rtt300-r14-rep1-1781228429.json
c,app-optimized,5000,14,,1,1781232061,51.249545499999996,59.2649883,63.53585923,0,52.04781573928576,39.820795,430.987064,1680,0,0.0,0,1,6408,c-app-optimized-rtt5000-r14-rep1-1781232061.json
c,app-optimized,5000,14,,1,1781232457,51.7250955,61.01124375,65.49448595999999,0,52.526566008928505,39.468511,218.531935,1680,0,0.0,0,1,6419,c-app-optimized-rtt5000-r14-rep1-1781232457.json
c,app-optimized,5000,14,,1,1781232849,51.568842,60.289827,63.7835964,0,52.222028342058344,38.033139,306.101514,1681,0,0.0,0,1,6478,c-app-optimized-rtt5000-r14-rep1-1781232849.json
c,app-optimized,5000,14,,1,1781233242,52.947222499999995,60.44102805,63.41143424,0,53.37792076488085,37.975795,474.581071,1680,0,0.0,0,1,6384,c-app-optimized-rtt5000-r14-rep1-1781233242.json
c,app-optimized,5000,14,,1,1781233638,51.877941,60.407374,64.0394562,0,52.448544577632376,38.641954,236.645909,1681,0,0.0,0,1,6436,c-app-optimized-rtt5000-r14-rep1-1781233638.json
c,app-optimized,5000,14,,1,1781234034,51.029654,59.277351,63.33022759999999,0,51.4430462450922,38.437505,220.500234,1681,0,0.0,0,1,6378,c-app-optimized-rtt5000-r14-rep1-1781234034.json
c,join,0,14,,1,1781224505,5.903333,10.8192203,16.21989054,0,6.375717958928572,1.301629,36.440374,1680,0,0.0,0,1,41,c-join-rtt0-r14-rep1-1781224505.json
c,join,10000,14,,1,1781234266,77.166841,86.802792,94.71955839999998,0,78.00169158893513,64.296321,435.26287,1681,0,0.0,0,1,12794,c-join-rtt10000-r14-rep1-1781234266.json
c,join,1500,10,,1,1781108958,16.197585,18.48805,19.300802,0,16.250166973377684,10.94553,23.429813,601,0,0.0,0,1,,c-join-rtt1500-r10-rep1-1781108958.json
c,join,1500,14,,1,1781228651,16.911479,20.574692,22.1684438,0,17.169107614515163,11.405765,128.669998,1681,0,0.0,0,1,2367,c-join-rtt1500-r14-rep1-1781228651.json
c,join,300,14,,1,1781226422,7.271675,10.572263,13.186299199999997,0,7.563302277215956,4.044588,88.438319,1681,0,0.0,0,1,529,c-join-rtt300-r14-rep1-1781226422.json
c,join,5000,14,,1,1781231664,44.773439,53.008737,57.458271999999994,0,45.34906571267105,32.64185,282.877944,1681,0,0.0,0,1,6417,c-join-rtt5000-r14-rep1-1781231664.json
