scenario,style,rtt_us_nominal,rate,repeat,epoch,p50_ms,p95_ms,p99_ms,p99_missing,avg_ms,min_ms,max_ms,reqs,dropped_iterations,dropped_ratio,error_rate,valid,calib_p50_us,file
a,join,300,50,1,1781108107,4.636467,6.311886,7.603305,0,4.862802906364558,3.114422,22.338291,3001,0,0.0,0.02599133622125958,0,516,a-join-rtt300-r50-rep1-1781108107.json
a,seq,300,50,1,1781108190,5.459344,7.722473,8.646516,0,5.740026363878713,3.355756,16.239364,3001,0,0.0,0.030656447850716428,0,524,a-seq-rtt300-r50-rep1-1781108190.json
b,byid,1500,20,1,1781108803,37.92164,52.204094,57.740485,0,38.336540411323895,18.396298,68.636428,1201,0,0.0,0,1,2398,b-byid-rtt1500-r20-rep1-1781108803.json
b,inbatch,1500,20,1,1781108648,19.081298,21.978804,22.820349,0,19.071078178184862,13.164616,36.119924,1201,0,0.0,0,1,2359,b-inbatch-rtt1500-r20-rep1-1781108648.json
b,joinfetch,1500,20,1,1781108495,15.050828,17.411541,18.750086,0,15.095516871773494,10.718776,27.029981,1201,0,0.0,0,1,2348,b-joinfetch-rtt1500-r20-rep1-1781108495.json
b,lazy,1500,20,1,1781108343,36.76279,50.651861,55.929165,0,37.26157984096586,16.930538,59.199257,1201,0,0.0,0,1,2354,b-lazy-rtt1500-r20-rep1-1781108343.json
c,app-naive,1500,10,1,1781109114,148.666739,155.490999,176.88411,0,149.7019299816972,144.545145,201.438967,601,0,0.0,0,1,2411,c-app-naive-rtt1500-r10-rep1-1781109114.json
c,join,1500,10,1,1781108958,16.197585,18.48805,19.300802,0,16.250166973377684,10.94553,23.429813,601,0,0.0,0,1,2399,c-join-rtt1500-r10-rep1-1781108958.json
