scenario,style,rtt_us_nominal,rate,n,repeat,epoch,p50_ms,p95_ms,p99_ms,p99_missing,avg_ms,min_ms,max_ms,reqs,dropped_iterations,dropped_ratio,error_rate,valid,calib_p50_us,file
b,joinfetch,0,20,100,3,1784373009,25.256326,40.041217,50.625357,0,25.181321764681385,5.863468,76.719473,2401,0,0.0,0,1,190,b-joinfetch-rtt0-r20-n100-rep3-1784373009.json
b,joinfetch,2200,20,100,1,1784378553,48.426983,61.765176,73.307019,0,47.22965545439407,33.753197,110.290993,2401,0,0.0,0,1,2553,b-joinfetch-rtt2200-r20-n100-rep1-1784378553.json
b,joinfetch,2200,20,100,2,1784378675,51.585365,74.357327,87.094643,0,52.70395921907528,29.497574,147.039851,2401,0,0.0,0,1,2553,b-joinfetch-rtt2200-r20-n100-rep2-1784378675.json
b,joinfetch,2200,20,100,3,1784378798,51.544259,73.431491,87.744418,0,53.45447511203659,29.488315,159.192907,2401,0,0.0,0,1,2553,b-joinfetch-rtt2200-r20-n100-rep3-1784378798.json
b,joinfetch,800,20,100,1,1784375445,36.594422,56.583301,76.357369,0,37.001652301957535,17.320548,126.6948,2401,0,0.0,0,1,1098,b-joinfetch-rtt800-r20-n100-rep1-1784375445.json
b,joinfetch,800,20,100,2,1784375567,35.214438,49.473149,57.972605,0,33.590670159100455,16.84181,82.835649,2401,0,0.0,0,1,1098,b-joinfetch-rtt800-r20-n100-rep2-1784375567.json
b,joinfetch,800,20,100,3,1784375690,37.247143,57.301008,75.789353,0,37.74614702957097,16.998388,145.980244,2401,0,0.0,0,1,1098,b-joinfetch-rtt800-r20-n100-rep3-1784375690.json
b,lazy,0,20,100,1,1784374428,228.353651,1140.115561,1901.783385,0,371.8227348775517,100.610749,3244.849724,2401,0,0.0,0,1,167,b-lazy-rtt0-r20-n100-rep1-1784374428.json
b,lazy,0,20,100,2,1784374552,8963.097795,11376.02283755,12101.32407001,0,7232.451411475235,133.215964,12915.140958,2302,99,0.04301,0.02693310165073849,0,167,b-lazy-rtt0-r20-n100-rep2-1784374552.json
b,lazy,0,20,100,3,1784374682,12630.92255,20082.2849541,24020.9836941,0,11873.688594733121,340.737609,24300.812916,2192,209,0.09535,0.09808394160583941,0,167,b-lazy-rtt0-r20-n100-rep3-1784374682.json
b,lazy,2200,20,100,1,1784380579,5903.29627,11613.670982399995,12901.97356392,0,5892.712217298834,402.331101,13371.41568,2299,101,0.04393,0.02435841670291431,0,2543,b-lazy-rtt2200-r20-n100-rep1-1784380579.json
b,lazy,2200,20,100,2,1784380712,6281.56962,12709.4876015,14278.942692499997,0,6389.4423004378,514.486757,15263.509065,2291,110,0.04801,0.030990833697075514,0,2543,b-lazy-rtt2200-r20-n100-rep2-1784380712.json
b,lazy,2200,20,100,3,1784380848,10148.696025,16529.056997199998,18171.6631165,0,9917.577637281647,588.311818,18811.428596,2219,182,0.08202,0.08517350157728706,0,2543,b-lazy-rtt2200-r20-n100-rep3-1784380848.json
b,lazy,800,20,100,1,1784377404,322.597567,455.746022,541.827667,0,339.55624658184075,247.156243,659.152703,2401,0,0.0,0,1,1044,b-lazy-rtt800-r20-n100-rep1-1784377404.json
b,lazy,800,20,100,2,1784377527,1049.385171,2693.500039,4568.405842,0,1258.8727494881264,267.083958,5144.663809,2401,0,0.0,0.00041649312786339027,1,1044,b-lazy-rtt800-r20-n100-rep2-1784377527.json
b,lazy,800,20,100,3,1784377651,848.4879925,5254.63109225,6997.746746350006,0,1444.056297824708,262.424214,7350.673901,2396,5,0.00209,0.0037562604340567614,0,1044,b-lazy-rtt800-r20-n100-rep3-1784377651.json
