1784283811.853062 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1707847234:1707847277, ack 1678531984, win 678, options [nop,nop,TS val 3834466584 ecr 1737511391], length 43
1784283811.864027 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1:34, ack 43, win 504, options [nop,nop,TS val 1737572678 ecr 3834466584], length 33
1784283811.864053 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [.], ack 34, win 678, options [nop,nop,TS val 3834466595 ecr 1737572678], length 0
1784283811.864589 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 43:96, ack 34, win 678, options [nop,nop,TS val 3834466596 ecr 1737572678], length 53
1784283811.875701 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 34:105, ack 96, win 504, options [nop,nop,TS val 1737572689 ecr 3834466596], length 71
1784283811.876538 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 96:149, ack 105, win 678, options [nop,nop,TS val 3834466608 ecr 1737572689], length 53
1784283811.886771 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 105:176, ack 149, win 504, options [nop,nop,TS val 1737572701 ecr 3834466608], length 71
1784283811.887095 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 149:202, ack 176, win 678, options [nop,nop,TS val 3834466618 ecr 1737572701], length 53
1784283811.898088 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 176:247, ack 202, win 504, options [nop,nop,TS val 1737572712 ecr 3834466618], length 71
1784283811.898520 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 202:255, ack 247, win 678, options [nop,nop,TS val 3834466630 ecr 1737572712], length 53
1784283811.909288 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 247:318, ack 255, win 504, options [nop,nop,TS val 1737572723 ecr 3834466630], length 71
1784283811.909660 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 255:308, ack 318, win 678, options [nop,nop,TS val 3834466641 ecr 1737572723], length 53
1784283811.920940 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 318:389, ack 308, win 504, options [nop,nop,TS val 1737572734 ecr 3834466641], length 71
1784283811.921203 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 308:361, ack 389, win 678, options [nop,nop,TS val 3834466653 ecr 1737572734], length 53
1784283811.931490 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 389:460, ack 361, win 504, options [nop,nop,TS val 1737572746 ecr 3834466653], length 71
1784283811.931890 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 361:414, ack 460, win 678, options [nop,nop,TS val 3834466663 ecr 1737572746], length 53
1784283811.943217 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 460:531, ack 414, win 504, options [nop,nop,TS val 1737572756 ecr 3834466663], length 71
1784283811.943515 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 414:467, ack 531, win 678, options [nop,nop,TS val 3834466675 ecr 1737572756], length 53
1784283811.954956 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 531:602, ack 467, win 504, options [nop,nop,TS val 1737572768 ecr 3834466675], length 71
1784283811.955227 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 467:520, ack 602, win 678, options [nop,nop,TS val 3834466687 ecr 1737572768], length 53
1784283811.966797 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 602:673, ack 520, win 504, options [nop,nop,TS val 1737572780 ecr 3834466687], length 71
1784283811.967036 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 520:573, ack 673, win 678, options [nop,nop,TS val 3834466698 ecr 1737572780], length 53
1784283811.978941 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 673:744, ack 573, win 504, options [nop,nop,TS val 1737572791 ecr 3834466698], length 71
1784283811.979225 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 573:626, ack 744, win 678, options [nop,nop,TS val 3834466711 ecr 1737572791], length 53
1784283811.991558 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 744:815, ack 626, win 504, options [nop,nop,TS val 1737572804 ecr 3834466711], length 71
1784283811.991729 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 626:679, ack 815, win 678, options [nop,nop,TS val 3834466723 ecr 1737572804], length 53
1784283812.004129 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 815:886, ack 679, win 504, options [nop,nop,TS val 1737572816 ecr 3834466723], length 71
1784283812.004317 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 679:732, ack 886, win 678, options [nop,nop,TS val 3834466736 ecr 1737572816], length 53
1784283812.016202 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 886:957, ack 732, win 504, options [nop,nop,TS val 1737572829 ecr 3834466736], length 71
1784283812.016394 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 732:785, ack 957, win 678, options [nop,nop,TS val 3834466748 ecr 1737572829], length 53
1784283812.026575 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 957:1028, ack 785, win 504, options [nop,nop,TS val 1737572841 ecr 3834466748], length 71
1784283812.026885 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 785:838, ack 1028, win 678, options [nop,nop,TS val 3834466758 ecr 1737572841], length 53
1784283812.039499 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1028:1099, ack 838, win 504, options [nop,nop,TS val 1737572851 ecr 3834466758], length 71
1784283812.039969 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 838:891, ack 1099, win 678, options [nop,nop,TS val 3834466771 ecr 1737572851], length 53
1784283812.051427 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1099:1170, ack 891, win 504, options [nop,nop,TS val 1737572864 ecr 3834466771], length 71
1784283812.051778 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 891:944, ack 1170, win 678, options [nop,nop,TS val 3834466783 ecr 1737572864], length 53
1784283812.064337 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1170:1241, ack 944, win 504, options [nop,nop,TS val 1737572876 ecr 3834466783], length 71
1784283812.064649 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 944:997, ack 1241, win 678, options [nop,nop,TS val 3834466796 ecr 1737572876], length 53
1784283812.077253 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1241:1312, ack 997, win 504, options [nop,nop,TS val 1737572889 ecr 3834466796], length 71
1784283812.077598 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 997:1050, ack 1312, win 678, options [nop,nop,TS val 3834466809 ecr 1737572889], length 53
1784283812.089063 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1312:1383, ack 1050, win 504, options [nop,nop,TS val 1737572902 ecr 3834466809], length 71
1784283812.089480 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1050:1103, ack 1383, win 678, options [nop,nop,TS val 3834466821 ecr 1737572902], length 53
1784283812.101997 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1383:1454, ack 1103, win 504, options [nop,nop,TS val 1737572914 ecr 3834466821], length 71
1784283812.102721 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1103:1156, ack 1454, win 678, options [nop,nop,TS val 3834466834 ecr 1737572914], length 53
1784283812.115417 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1454:1525, ack 1156, win 504, options [nop,nop,TS val 1737572927 ecr 3834466834], length 71
1784283812.115909 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1156:1209, ack 1525, win 678, options [nop,nop,TS val 3834466847 ecr 1737572927], length 53
1784283812.128501 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1525:1596, ack 1209, win 504, options [nop,nop,TS val 1737572940 ecr 3834466847], length 71
1784283812.128884 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1209:1262, ack 1596, win 678, options [nop,nop,TS val 3834466860 ecr 1737572940], length 53
1784283812.141510 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1596:1667, ack 1262, win 504, options [nop,nop,TS val 1737572953 ecr 3834466860], length 71
1784283812.141807 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1262:1315, ack 1667, win 678, options [nop,nop,TS val 3834466873 ecr 1737572953], length 53
1784283812.153090 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1667:1738, ack 1315, win 504, options [nop,nop,TS val 1737572966 ecr 3834466873], length 71
1784283812.153407 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1315:1368, ack 1738, win 678, options [nop,nop,TS val 3834466885 ecr 1737572966], length 53
1784283812.165760 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1738:1809, ack 1368, win 504, options [nop,nop,TS val 1737572978 ecr 3834466885], length 71
1784283812.166042 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1368:1421, ack 1809, win 678, options [nop,nop,TS val 3834466897 ecr 1737572978], length 53
1784283812.178239 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1809:1880, ack 1421, win 504, options [nop,nop,TS val 1737572991 ecr 3834466897], length 71
1784283812.178566 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1421:1474, ack 1880, win 678, options [nop,nop,TS val 3834466910 ecr 1737572991], length 53
1784283812.191194 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1880:1951, ack 1474, win 504, options [nop,nop,TS val 1737573003 ecr 3834466910], length 71
1784283812.191615 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1474:1527, ack 1951, win 678, options [nop,nop,TS val 3834466923 ecr 1737573003], length 53
1784283812.204266 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1951:2022, ack 1527, win 504, options [nop,nop,TS val 1737573016 ecr 3834466923], length 71
1784283812.204556 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1527:1580, ack 2022, win 678, options [nop,nop,TS val 3834466936 ecr 1737573016], length 53
1784283812.216302 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2022:2093, ack 1580, win 504, options [nop,nop,TS val 1737573029 ecr 3834466936], length 71
1784283812.216582 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1580:1633, ack 2093, win 678, options [nop,nop,TS val 3834466948 ecr 1737573029], length 53
1784283812.229197 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2093:2164, ack 1633, win 504, options [nop,nop,TS val 1737573041 ecr 3834466948], length 71
1784283812.229575 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1633:1686, ack 2164, win 678, options [nop,nop,TS val 3834466961 ecr 1737573041], length 53
1784283812.242201 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2164:2235, ack 1686, win 504, options [nop,nop,TS val 1737573054 ecr 3834466961], length 71
1784283812.242499 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1686:1739, ack 2235, win 678, options [nop,nop,TS val 3834466974 ecr 1737573054], length 53
1784283812.255113 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2235:2306, ack 1739, win 504, options [nop,nop,TS val 1737573067 ecr 3834466974], length 71
1784283812.255478 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1739:1792, ack 2306, win 678, options [nop,nop,TS val 3834466987 ecr 1737573067], length 53
1784283812.268110 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2306:2377, ack 1792, win 504, options [nop,nop,TS val 1737573080 ecr 3834466987], length 71
1784283812.268420 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1792:1845, ack 2377, win 678, options [nop,nop,TS val 3834467000 ecr 1737573080], length 53
1784283812.281039 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2377:2448, ack 1845, win 504, options [nop,nop,TS val 1737573093 ecr 3834467000], length 71
1784283812.281352 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1845:1898, ack 2448, win 678, options [nop,nop,TS val 3834467013 ecr 1737573093], length 53
1784283812.294047 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2448:2519, ack 1898, win 504, options [nop,nop,TS val 1737573106 ecr 3834467013], length 71
1784283812.294768 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1898:1951, ack 2519, win 678, options [nop,nop,TS val 3834467026 ecr 1737573106], length 53
1784283812.306179 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2519:2590, ack 1951, win 504, options [nop,nop,TS val 1737573119 ecr 3834467026], length 71
1784283812.306785 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1951:2004, ack 2590, win 678, options [nop,nop,TS val 3834467038 ecr 1737573119], length 53
1784283812.318070 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2590:2661, ack 2004, win 504, options [nop,nop,TS val 1737573131 ecr 3834467038], length 71
1784283812.318760 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2004:2057, ack 2661, win 678, options [nop,nop,TS val 3834467050 ecr 1737573131], length 53
1784283812.331536 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2661:2732, ack 2057, win 504, options [nop,nop,TS val 1737573143 ecr 3834467050], length 71
1784283812.332794 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2057:2110, ack 2732, win 678, options [nop,nop,TS val 3834467064 ecr 1737573143], length 53
1784283812.345755 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2732:2803, ack 2110, win 504, options [nop,nop,TS val 1737573158 ecr 3834467064], length 71
1784283812.346055 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2110:2163, ack 2803, win 678, options [nop,nop,TS val 3834467077 ecr 1737573158], length 53
1784283812.358719 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2803:2874, ack 2163, win 504, options [nop,nop,TS val 1737573171 ecr 3834467077], length 71
1784283812.359001 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2163:2216, ack 2874, win 678, options [nop,nop,TS val 3834467090 ecr 1737573171], length 53
1784283812.371684 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2874:2945, ack 2216, win 504, options [nop,nop,TS val 1737573184 ecr 3834467090], length 71
1784283812.371893 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2216:2269, ack 2945, win 678, options [nop,nop,TS val 3834467103 ecr 1737573184], length 53
1784283812.384481 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2945:3016, ack 2269, win 504, options [nop,nop,TS val 1737573196 ecr 3834467103], length 71
1784283812.384724 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2269:2322, ack 3016, win 678, options [nop,nop,TS val 3834467116 ecr 1737573196], length 53
1784283812.397356 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3016:3087, ack 2322, win 504, options [nop,nop,TS val 1737573209 ecr 3834467116], length 71
1784283812.397631 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2322:2375, ack 3087, win 678, options [nop,nop,TS val 3834467129 ecr 1737573209], length 53
1784283812.410214 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3087:3158, ack 2375, win 504, options [nop,nop,TS val 1737573222 ecr 3834467129], length 71
1784283812.410558 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2375:2428, ack 3158, win 678, options [nop,nop,TS val 3834467142 ecr 1737573222], length 53
1784283812.421044 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3158:3229, ack 2428, win 504, options [nop,nop,TS val 1737573235 ecr 3834467142], length 71
1784283812.421389 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2428:2481, ack 3229, win 678, options [nop,nop,TS val 3834467153 ecr 1737573235], length 53
1784283812.433993 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3229:3300, ack 2481, win 504, options [nop,nop,TS val 1737573246 ecr 3834467153], length 71
1784283812.434185 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2481:2534, ack 3300, win 678, options [nop,nop,TS val 3834467166 ecr 1737573246], length 53
1784283812.446508 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3300:3371, ack 2534, win 504, options [nop,nop,TS val 1737573259 ecr 3834467166], length 71
1784283812.446755 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2534:2587, ack 3371, win 678, options [nop,nop,TS val 3834467178 ecr 1737573259], length 53
1784283812.459307 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3371:3442, ack 2587, win 504, options [nop,nop,TS val 1737573271 ecr 3834467178], length 71
1784283812.459590 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2587:2640, ack 3442, win 678, options [nop,nop,TS val 3834467191 ecr 1737573271], length 53
1784283812.472177 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3442:3513, ack 2640, win 504, options [nop,nop,TS val 1737573284 ecr 3834467191], length 71
1784283812.472531 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2640:2693, ack 3513, win 678, options [nop,nop,TS val 3834467204 ecr 1737573284], length 53
1784283812.484968 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3513:3584, ack 2693, win 504, options [nop,nop,TS val 1737573297 ecr 3834467204], length 71
1784283812.526083 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [.], ack 3584, win 678, options [nop,nop,TS val 3834467257 ecr 1737573297], length 0

