1784283750.248256 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1707844541:1707844584, ack 1678528401, win 678, options [nop,nop,TS val 3834404980 ecr 1737449686], length 43
1784283750.253932 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 1:34, ack 43, win 504, options [nop,nop,TS val 1737511073 ecr 3834404980], length 33
1784283750.253989 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [.], ack 34, win 678, options [nop,nop,TS val 3834404985 ecr 1737511073], length 0
1784283750.254563 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 43:96, ack 34, win 678, options [nop,nop,TS val 3834404986 ecr 1737511073], length 53
1784283750.260126 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 34:105, ack 96, win 504, options [nop,nop,TS val 1737511079 ecr 3834404986], length 71
1784283750.260620 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 96:149, ack 105, win 678, options [nop,nop,TS val 3834404992 ecr 1737511079], length 53
1784283750.266937 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 105:176, ack 149, win 504, options [nop,nop,TS val 1737511085 ecr 3834404992], length 71
1784283750.267395 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 149:202, ack 176, win 678, options [nop,nop,TS val 3834404999 ecr 1737511085], length 53
1784283750.272583 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 176:247, ack 202, win 504, options [nop,nop,TS val 1737511092 ecr 3834404999], length 71
1784283750.272935 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 202:255, ack 247, win 678, options [nop,nop,TS val 3834405004 ecr 1737511092], length 53
1784283750.278117 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 247:318, ack 255, win 504, options [nop,nop,TS val 1737511097 ecr 3834405004], length 71
1784283750.278362 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 255:308, ack 318, win 678, options [nop,nop,TS val 3834405010 ecr 1737511097], length 53
1784283750.284683 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 318:389, ack 308, win 504, options [nop,nop,TS val 1737511103 ecr 3834405010], length 71
1784283750.284962 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 308:361, ack 389, win 678, options [nop,nop,TS val 3834405016 ecr 1737511103], length 53
1784283750.290962 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 389:460, ack 361, win 504, options [nop,nop,TS val 1737511109 ecr 3834405016], length 71
1784283750.291558 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 361:414, ack 460, win 678, options [nop,nop,TS val 3834405023 ecr 1737511109], length 53
1784283750.297848 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 460:531, ack 414, win 504, options [nop,nop,TS val 1737511116 ecr 3834405023], length 71
1784283750.298209 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 414:467, ack 531, win 678, options [nop,nop,TS val 3834405030 ecr 1737511116], length 53
1784283750.304080 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 531:602, ack 467, win 504, options [nop,nop,TS val 1737511123 ecr 3834405030], length 71
