b|joinfetch|0|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:30:08
b|byid|0|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:32:21
b|inbatch|0|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:34:33
b|inbatch-nodup|0|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:36:45
b|batchfetch|0|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:38:57
b|jdbc-join|0|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:41:09
b|jdbc-inbatch|0|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:43:22
b|lazy|300|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:45:53
b|lazy-unbounded|300|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:48:24
b|joinfetch|300|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:50:55
b|byid|300|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:53:26
b|inbatch|300|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:55:56
b|inbatch-nodup|300|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 18:58:28
b|batchfetch|300|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:00:58
b|jdbc-join|300|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:03:29
b|jdbc-inbatch|300|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:06:02
b|lazy|300|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:08:34
b|lazy-unbounded|300|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:11:05
b|joinfetch|300|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:13:39
b|byid|300|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:16:10
b|inbatch|300|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:18:42
b|inbatch-nodup|300|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:21:08
b|batchfetch|300|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:23:42
b|jdbc-join|300|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:26:09
b|jdbc-inbatch|300|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:28:35
b|lazy|300|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:31:07
b|lazy-unbounded|300|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:33:40
b|joinfetch|300|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:36:11
b|byid|300|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:38:43
b|inbatch|300|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:41:16
b|inbatch-nodup|300|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:43:50
b|batchfetch|300|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:46:22
b|jdbc-join|300|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:48:53
b|jdbc-inbatch|300|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:51:20
b|lazy|300|20|-|N=500,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:53:52
