b-joinfetch-rtt0	DONE	1784358948
b-jdbc-join-rtt0	DONE	1784359481
b-inbatch-rtt0	DONE	1784359852
b-jdbc-inbatch-rtt0	DONE	1784360223
b-lazy-rtt0	DONE	1784360592
b-byid-rtt0	DONE	1784360964
b-joinfetch-rtt800	DONE	1784361377
b-jdbc-join-rtt800	DONE	1784361792
b-inbatch-rtt800	DONE	1784362209
b-jdbc-inbatch-rtt800	DONE	1784362671
b-lazy-rtt800	DONE	1784363087
b-byid-rtt800	DONE	1784363543
b-joinfetch-rtt2200	DONE	1784364091
b-jdbc-join-rtt2200	DONE	1784364590
b-inbatch-rtt2200	DONE	1784365061
b-jdbc-inbatch-rtt2200	DONE	1784365533
b-lazy-rtt2200	DONE	1784366005
b-byid-rtt2200	DONE	1784366477
