scenario,style,rtt_us_nominal,rate,n,repeat,epoch,p50_ms,p95_ms,p99_ms,p99_missing,avg_ms,min_ms,max_ms,reqs,dropped_iterations,dropped_ratio,error_rate,valid,calib_p50_us,file
b,byid,0,20,100,1,1784360601,10.1154485,19.946108699999996,41.75797237999999,0,11.141072502916678,1.927629,48.082541,2400,0,0.0,0,1,137,b-byid-rtt0-r20-n100-rep1-1784360601.json
b,byid,0,20,100,2,1784360722,11.357107,20.435814,43.275855,0,11.768171531028738,2.132679,52.202335,2401,0,0.0,0,1,137,b-byid-rtt0-r20-n100-rep2-1784360722.json
b,byid,0,20,100,3,1784360843,9.966750000000001,18.71067924999998,41.13753674999998,0,10.92291969458331,2.127487,55.235976,2400,0,0.0,0,1,137,b-byid-rtt0-r20-n100-rep3-1784360843.json
b,byid,2200,20,100,1,1784366114,43.3722295,110.3274772499995,143.59553808999996,0,47.27233007791671,19.243552,163.226751,2400,0,0.0,0,1,2771,b-byid-rtt2200-r20-n100-rep1-1784366114.json
b,byid,2200,20,100,2,1784366235,42.781167,63.519377,141.944954,0,46.30164572636397,17.648008,166.607848,2401,0,0.0,0,1,2771,b-byid-rtt2200-r20-n100-rep2-1784366235.json
b,byid,2200,20,100,3,1784366356,49.441386,121.52371,200.041588,0,56.51446429487715,18.685397,246.609109,2401,0,0.0,0,1,2771,b-byid-rtt2200-r20-n100-rep3-1784366356.json
b,byid,800,20,100,1,1784363175,29.843491999999998,76.72768274999964,111.38864380999995,0,35.22207565125004,13.17859,164.517682,2400,0,0.0,0,1,990,b-byid-rtt800-r20-n100-rep1-1784363175.json
b,byid,800,20,100,2,1784363298,38.461663,89.943155,147.477393,0,44.13989703540191,14.151456,299.646113,2401,0,0.0,0,1,990,b-byid-rtt800-r20-n100-rep2-1784363298.json
b,byid,800,20,100,3,1784363420,39.453746,110.125431,138.142281,0,45.629823820075046,14.676934,172.067126,2401,0,0.0,0,1,990,b-byid-rtt800-r20-n100-rep3-1784363420.json
b,inbatch,0,20,100,1,1784359489,6.709997,9.032352,10.586588,0,6.102023597251135,1.909219,30.916361,2401,0,0.0,0,1,133,b-inbatch-rtt0-r20-n100-rep1-1784359489.json
b,inbatch,0,20,100,2,1784359610,6.406123,7.562906,9.455904,0,5.565760700957937,1.85744,20.624254,2401,0,0.0,0,1,133,b-inbatch-rtt0-r20-n100-rep2-1784359610.json
b,inbatch,0,20,100,3,1784359731,6.112146,7.346604,9.157203,0,5.499520996251559,1.838724,23.920128,2401,0,0.0,0,1,133,b-inbatch-rtt0-r20-n100-rep3-1784359731.json
b,inbatch,2200,20,100,1,1784364698,22.086694,23.195424,24.894776,0,21.300380847563517,17.484532,34.77465,2401,0,0.0,0,1,2523,b-inbatch-rtt2200-r20-n100-rep1-1784364698.json
b,inbatch,2200,20,100,2,1784364819,21.968643,22.805567,24.887694,0,21.15529429446064,17.499338,30.478022,2401,0,0.0,0,1,2523,b-inbatch-rtt2200-r20-n100-rep2-1784364819.json
b,inbatch,2200,20,100,3,1784364940,21.868336,22.957736,24.808851,0,21.12482588088293,17.568774,33.830845,2401,0,0.0,0,1,2523,b-inbatch-rtt2200-r20-n100-rep3-1784364940.json
b,inbatch,800,20,100,1,1784361845,10.327201,12.955144,14.83503,0,10.914538387755107,7.554895,24.588106,2401,0,0.0,0,1,1341,b-inbatch-rtt800-r20-n100-rep1-1784361845.json
b,inbatch,800,20,100,2,1784361966,10.053397,12.859355,14.888397,0,10.79298842024158,7.620464,25.374669,2401,0,0.0,0,1,1341,b-inbatch-rtt800-r20-n100-rep2-1784361966.json
b,inbatch,800,20,100,3,1784362087,16.48137,25.957167,33.737529,0,18.19169184048313,7.650196,109.722353,2401,0,0.0,0,1,1341,b-inbatch-rtt800-r20-n100-rep3-1784362087.json
b,jdbc-inbatch,0,20,100,1,1784359860,3.2473704999999997,4.164845599999998,5.547885639999981,0,2.997023893333332,1.019675,16.70354,2400,0,0.0,0,1,70,b-jdbc-inbatch-rtt0-r20-n100-rep1-1784359860.json
b,jdbc-inbatch,0,20,100,2,1784359981,2.666571,3.93614,5.250142,0,2.7815894194085775,1.105431,27.738625,2401,0,0.0,0,1,70,b-jdbc-inbatch-rtt0-r20-n100-rep2-1784359981.json
b,jdbc-inbatch,0,20,100,3,1784360102,2.6696090000000003,3.7476930499999996,5.180662709999998,0,2.7163036616666694,1.06987,21.816312,2400,0,0.0,0,1,70,b-jdbc-inbatch-rtt0-r20-n100-rep3-1784360102.json
b,jdbc-inbatch,2200,20,100,1,1784365170,7.941371,12.596623,18.750557,0,8.969823724698047,5.235497,24.683147,2401,0,0.0,0,1,2769,b-jdbc-inbatch-rtt2200-r20-n100-rep1-1784365170.json
b,jdbc-inbatch,2200,20,100,2,1784365291,7.336917,9.516666,11.827135,0,7.332155583506871,5.275047,19.788885,2401,0,0.0,0,1,2769,b-jdbc-inbatch-rtt2200-r20-n100-rep2-1784365291.json
b,jdbc-inbatch,2200,20,100,3,1784365412,7.584251,8.321262,9.761387,0,7.311404206997081,5.50386,14.473419,2401,0,0.0,0,1,2769,b-jdbc-inbatch-rtt2200-r20-n100-rep3-1784365412.json
b,jdbc-inbatch,800,20,100,1,1784362306,3.840929,11.130094,13.010518,0,5.582686925447723,2.494205,21.323648,2401,0,0.0,0,1,1094,b-jdbc-inbatch-rtt800-r20-n100-rep1-1784362306.json
b,jdbc-inbatch,800,20,100,2,1784362427,3.329903,9.390572,10.125776,0,4.368993127446894,2.355068,20.753035,2401,0,0.0,0,1,1094,b-jdbc-inbatch-rtt800-r20-n100-rep2-1784362427.json
b,jdbc-inbatch,800,20,100,3,1784362549,3.696071,8.64348,9.314778,0,4.247800558933778,2.356795,18.825341,2401,0,0.0,0,1,1094,b-jdbc-inbatch-rtt800-r20-n100-rep3-1784362549.json
b,jdbc-join,0,20,100,1,1784359116,1.973613,9.057374,11.644915,0,3.1719345451895027,0.657398,52.876308,2401,0,0.0,0,1,124,b-jdbc-join-rtt0-r20-n100-rep1-1784359116.json
b,jdbc-join,0,20,100,2,1784359238,1.534591,7.995219,9.635834,0,2.3990483815077073,0.616237,20.130475,2401,0,0.0,0,1,124,b-jdbc-join-rtt0-r20-n100-rep2-1784359238.json
b,jdbc-join,0,20,100,3,1784359360,2.4515535,3.220672499999997,4.58208039,0,2.2619625795833316,0.733356,24.626003,2400,0,0.0,0,1,124,b-jdbc-join-rtt0-r20-n100-rep3-1784359360.json
b,jdbc-join,2200,20,100,1,1784364227,4.703605,5.317992,6.750557,0,4.526952805914198,3.096655,13.030252,2401,0,0.0,0,1,2515,b-jdbc-join-rtt2200-r20-n100-rep1-1784364227.json
b,jdbc-join,2200,20,100,2,1784364348,4.623313,5.294649,6.639306,0,4.462295830487296,3.144632,14.212644,2401,0,0.0,0,1,2515,b-jdbc-join-rtt2200-r20-n100-rep2-1784364348.json
b,jdbc-join,2200,20,100,3,1784364469,4.6848790000000005,5.232072649999999,6.643013699999999,0,4.507249459999986,3.159542,12.616188,2400,0,0.0,0,1,2515,b-jdbc-join-rtt2200-r20-n100-rep3-1784364469.json
b,jdbc-join,800,20,100,1,1784361429,3.388883,4.398050399999999,5.529385699999998,0,3.252437540000004,1.679499,11.310125,2400,0,0.0,0,1,1325,b-jdbc-join-rtt800-r20-n100-rep1-1784361429.json
b,jdbc-join,800,20,100,2,1784361550,3.285742,4.222819,5.461696,0,3.158693386089133,1.72671,14.902077,2401,0,0.0,0,1,1325,b-jdbc-join-rtt800-r20-n100-rep2-1784361550.json
b,jdbc-join,800,20,100,3,1784361671,3.338106,3.9116283499999995,5.292624349999998,0,3.1429839479166675,1.666982,11.26912,2400,0,0.0,0,1,1325,b-jdbc-join-rtt800-r20-n100-rep3-1784361671.json
b,joinfetch,0,20,100,1,1784358583,4.922118,22.206649,54.108411,0,8.900401018742198,1.887663,187.946903,2401,0,0.0,0,1,184,b-joinfetch-rtt0-r20-n100-rep1-1784358583.json
b,joinfetch,0,20,100,2,1784358705,3.81809,12.29227,15.81229,0,5.649458344023326,1.491499,42.028466,2401,0,0.0,0,1,184,b-joinfetch-rtt0-r20-n100-rep2-1784358705.json
b,joinfetch,0,20,100,3,1784358540,9.840873,23.472102,53.10678,0,10.29045291628488,2.129562,171.580769,2401,0,0.0,0,1,156,b-joinfetch-rtt0-r20-n100-rep3-1784358540.json
b,joinfetch,0,20,100,3,1784358826,3.218441,12.185171,15.88245,0,4.876393214910457,1.366556,62.118957,2401,0,0.0,0,1,184,b-joinfetch-rtt0-r20-n100-rep3-1784358826.json
b,joinfetch,2200,20,100,1,1784363726,28.414564,36.952888,43.475313,0,29.602843140774663,23.549137,73.759645,2401,0,0.0,0,1,2482,b-joinfetch-rtt2200-r20-n100-rep1-1784363726.json
b,joinfetch,2200,20,100,2,1784363848,25.734751,33.44178,36.702185,0,26.76428028446479,23.575567,43.90799,2401,0,0.0,0,1,2482,b-joinfetch-rtt2200-r20-n100-rep2-1784363848.json
b,joinfetch,2200,20,100,3,1784363969,25.248571,32.935527,36.733566,0,26.564460095793404,23.584089,49.09126,2401,0,0.0,0,1,2482,b-joinfetch-rtt2200-r20-n100-rep3-1784363969.json
b,joinfetch,800,20,100,1,1784361014,9.760354,11.739742,13.484902,0,9.730293600999598,6.594205,20.930641,2401,0,0.0,0,1,1278,b-joinfetch-rtt800-r20-n100-rep1-1784361014.json
b,joinfetch,800,20,100,2,1784361135,10.593618,11.82799,13.637718,0,9.977308948771336,6.516076,20.254735,2401,0,0.0,0,1,1278,b-joinfetch-rtt800-r20-n100-rep2-1784361135.json
b,joinfetch,800,20,100,3,1784361256,10.551397999999999,11.691709449999998,13.606040549999996,0,9.898434107916657,6.594233,20.355505,2400,0,0.0,0,1,1278,b-joinfetch-rtt800-r20-n100-rep3-1784361256.json
b,lazy,0,20,100,1,1784360229,9.7723,19.033137,41.883363,0,10.795624397750908,2.19588,50.503977,2401,0,0.0,0,1,61,b-lazy-rtt0-r20-n100-rep1-1784360229.json
b,lazy,0,20,100,2,1784360350,10.680541,19.011885,42.612214,0,11.371747096626383,2.168998,54.72553,2401,0,0.0,0,1,61,b-lazy-rtt0-r20-n100-rep2-1784360350.json
b,lazy,0,20,100,3,1784360471,10.797302,18.995287,42.778036,0,11.362156524781344,2.169991,50.144254,2401,0,0.0,0,1,61,b-lazy-rtt0-r20-n100-rep3-1784360471.json
